2020-11-28 15:46:36.658 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:48:16.664 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:49:56.669 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:51:36.675 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:53:16.680 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:54:56.686 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:56:36.691 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:58:16.697 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:59:56.703 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:01:36.709 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:03:16.715 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:04:56.721 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:06:36.727 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:08:16.733 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:09:56.740 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:11:36.745 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:13:16.751 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:14:56.756 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:16:36.761 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:18:16.768 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:19:56.771 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:21:36.776 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:23:16.782 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:24:56.788 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:26:36.793 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:28:16.799 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:29:56.804 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:31:36.809 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:33:16.816 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:34:56.822 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:36:36.828 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:38:16.834 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:39:56.840 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:41:36.846 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:43:16.851 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:44:56.856 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:46:36.862 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:48:16.868 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:49:56.874 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:51:36.879 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:53:16.885 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:54:56.891 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:56:36.897 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:58:16.902 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 16:59:56.908 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:01:36.913 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:03:16.919 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:04:56.924 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:06:36.930 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:08:16.936 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:09:56.941 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:11:36.947 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:13:16.952 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:14:56.958 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:16:36.963 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:18:16.969 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:19:56.975 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:21:36.980 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:23:16.986 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:24:56.991 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:26:36.997 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:28:17.003 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:29:57.008 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:31:37.014 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:33:17.020 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:34:57.025 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:36:37.030 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:38:17.035 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:39:57.041 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:41:37.046 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:43:17.052 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:44:57.057 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:46:37.063 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:48:17.069 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:49:57.074 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:51:37.080 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:53:17.086 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:54:57.092 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:56:37.099 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:58:17.104 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 17:59:57.109 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:01:37.114 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:03:17.120 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:04:57.126 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:06:37.131 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:08:17.137 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:09:57.143 [configTaskScheduler-4] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:11:37.149 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:13:17.154 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:14:57.160 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:16:37.166 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:18:17.171 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:19:57.177 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:21:37.183 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:23:17.189 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:24:57.195 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:26:37.200 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:28:17.206 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:29:57.211 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:31:37.216 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:33:17.222 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:34:57.228 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:36:37.233 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:38:17.239 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:39:57.244 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:41:37.249 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:43:17.255 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:44:57.261 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:46:37.266 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:48:17.271 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:49:57.276 [configTaskScheduler-8] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:51:37.282 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:53:17.287 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:54:57.293 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:56:37.298 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:58:17.303 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 18:59:57.309 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:01:37.314 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
